epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,3505.72,1.33902,0.61524,1.37891,0.87664,0.86382,0.89496,0.41337,2.03227,0.74685,1.99099,0.00081708,0.00081708,0.00081708
105,3539.25,1.346,0.62343,1.38213,0.90082,0.84967,0.89464,0.40882,1.95567,0.7508,1.95345,0.000808828,0.000808828,0.000808828
106,3572.87,1.32927,0.60277,1.37134,0.89788,0.86624,0.89713,0.39091,2.01787,0.8038,2.00154,0.000800577,0.000800577,0.000800577
107,3607.05,1.3654,0.62579,1.38044,0.88095,0.85281,0.88375,0.4048,1.99766,0.77466,1.96662,0.000792325,0.000792325,0.000792325
108,3639.78,1.30238,0.60734,1.36321,0.86588,0.84922,0.87988,0.40396,2.01456,0.78252,1.97332,0.000784073,0.000784073,0.000784073
109,3672.22,1.31845,0.60773,1.38219,0.84824,0.86603,0.87814,0.41231,1.98923,0.78544,1.96998,0.000775822,0.000775822,0.000775822
110,3704.63,1.30902,0.60819,1.36423,0.85785,0.87881,0.88595,0.40244,1.98354,0.75178,1.97925,0.00076757,0.00076757,0.00076757
111,3737.39,1.30557,0.6106,1.36146,0.85551,0.86351,0.87195,0.3834,2.05283,0.79506,1.9995,0.000759318,0.000759318,0.000759318
112,3770.12,1.31271,0.59527,1.37506,0.89246,0.84898,0.87731,0.3972,2.01032,0.78637,1.99131,0.000751067,0.000751067,0.000751067
113,3802.55,1.27094,0.58322,1.3406,0.84402,0.85332,0.86452,0.38413,2.06004,0.77899,2.07247,0.000742815,0.000742815,0.000742815
114,3835.26,1.26566,0.57971,1.32902,0.88003,0.84988,0.88445,0.40458,2.00973,0.78242,1.99837,0.000734564,0.000734564,0.000734564
115,3868.57,1.27214,0.5786,1.3427,0.86514,0.86521,0.86906,0.4,1.99948,0.76086,1.99939,0.000726312,0.000726312,0.000726312
116,3901.84,1.27649,0.55737,1.3438,0.86053,0.82723,0.87406,0.40563,2.01251,0.78733,2.0242,0.00071806,0.00071806,0.00071806
117,3934.93,1.28955,0.566,1.35306,0.84042,0.87274,0.87839,0.40176,1.98782,0.75726,1.96656,0.000709809,0.000709809,0.000709809
118,3968.36,1.27033,0.58689,1.32288,0.88074,0.84784,0.88095,0.3914,2.00873,0.75239,2.00479,0.000701557,0.000701557,0.000701557
119,4001.79,1.24008,0.55355,1.33126,0.88902,0.85528,0.88168,0.39778,1.9928,0.76971,2.01058,0.000693305,0.000693305,0.000693305
120,4035.18,1.24851,0.55476,1.31795,0.85421,0.83416,0.86787,0.40412,2.0191,0.75921,2.02469,0.000685054,0.000685054,0.000685054
121,4068.6,1.27001,0.56554,1.32916,0.88259,0.87055,0.87609,0.39626,1.96095,0.74977,1.98744,0.000676802,0.000676802,0.000676802
122,4102.45,1.25675,0.57896,1.31393,0.87889,0.87722,0.89963,0.4171,1.97322,0.73163,1.97681,0.00066855,0.00066855,0.00066855
123,4136.97,1.23627,0.56304,1.32515,0.8706,0.86234,0.86734,0.39171,1.98673,0.76619,2.01636,0.000660299,0.000660299,0.000660299
124,4170.32,1.21956,0.56203,1.30803,0.8552,0.85218,0.87803,0.40639,1.98834,0.77682,2.01067,0.000652047,0.000652047,0.000652047
125,4203.75,1.25502,0.57499,1.32632,0.90076,0.83603,0.87603,0.38809,2.03139,0.7745,2.03438,0.000643795,0.000643795,0.000643795
126,4237.07,1.22396,0.57071,1.28114,0.86375,0.8491,0.87666,0.39343,2.05227,0.76287,2.02806,0.000635544,0.000635544,0.000635544
127,4270.42,1.21165,0.56385,1.29786,0.86109,0.84904,0.87689,0.38578,2.07944,0.76978,2.06728,0.000627292,0.000627292,0.000627292
128,4303.89,1.18887,0.54005,1.27915,0.85845,0.84066,0.86356,0.38663,2.05575,0.7846,2.08104,0.00061904,0.00061904,0.00061904
129,4337.28,1.18581,0.5411,1.28081,0.88077,0.87765,0.87987,0.38946,2.02219,0.73089,2.07433,0.000610789,0.000610789,0.000610789
130,4370.54,1.18094,0.54402,1.26529,0.86931,0.87842,0.88018,0.39816,2.0403,0.7709,2.07993,0.000602537,0.000602537,0.000602537
131,4403.83,1.19618,0.54421,1.28395,0.87224,0.86017,0.88456,0.40329,2.04981,0.77192,2.05863,0.000594286,0.000594286,0.000594286
132,4437.12,1.18532,0.54764,1.28416,0.86558,0.86323,0.87177,0.38236,2.05587,0.75985,2.11228,0.000586034,0.000586034,0.000586034
133,4470.47,1.21911,0.55645,1.29677,0.83736,0.88117,0.87643,0.38154,2.0629,0.77891,2.09037,0.000577782,0.000577782,0.000577782
134,4503.78,1.18895,0.54544,1.28884,0.86653,0.85355,0.85876,0.37787,2.01303,0.75261,2.04598,0.000569531,0.000569531,0.000569531
135,4537.46,1.20831,0.54508,1.29427,0.85798,0.87546,0.87524,0.39024,2.03436,0.76995,2.07832,0.000561279,0.000561279,0.000561279
136,4570.32,1.19815,0.54693,1.29518,0.8544,0.86896,0.87565,0.39566,2.02003,0.75625,2.07562,0.000553027,0.000553027,0.000553027
137,4602.83,1.15161,0.53088,1.27453,0.85727,0.84369,0.86585,0.38902,2.01259,0.77437,2.06803,0.000544776,0.000544776,0.000544776
138,4635.3,1.11747,0.51598,1.24808,0.85837,0.85853,0.87279,0.38789,2.04277,0.7834,2.14123,0.000536524,0.000536524,0.000536524
139,4667.82,1.16697,0.53768,1.26755,0.84354,0.86938,0.8777,0.39426,2.06338,0.76543,2.13022,0.000528272,0.000528272,0.000528272
140,4700.26,1.14569,0.53016,1.27005,0.86485,0.87242,0.88913,0.39241,2.05108,0.78143,2.11334,0.000520021,0.000520021,0.000520021
141,4732.68,1.13018,0.51528,1.24288,0.87464,0.86908,0.88557,0.405,2.04629,0.76438,2.14162,0.000511769,0.000511769,0.000511769
142,4765.31,1.11942,0.51445,1.2271,0.88303,0.8756,0.88795,0.3911,2.07664,0.76652,2.15635,0.000503517,0.000503517,0.000503517
143,4799.09,1.10352,0.5035,1.24473,0.90423,0.8442,0.89691,0.40459,2.06513,0.76547,2.12283,0.000495266,0.000495266,0.000495266
144,4832.94,1.10488,0.51334,1.23995,0.85489,0.88153,0.88871,0.38312,2.0787,0.75709,2.16567,0.000487014,0.000487014,0.000487014
145,4866.43,1.09731,0.50211,1.21958,0.89119,0.8355,0.88488,0.38509,2.08229,0.77367,2.17509,0.000478762,0.000478762,0.000478762
146,4900.02,1.12751,0.50665,1.25315,0.8776,0.8649,0.8854,0.38908,2.06239,0.75103,2.15859,0.000470511,0.000470511,0.000470511
147,4933.61,1.14654,0.52478,1.25115,0.86491,0.858,0.88428,0.40333,2.03725,0.76347,2.11156,0.000462259,0.000462259,0.000462259
148,4967.09,1.10869,0.50957,1.2569,0.87654,0.8461,0.88403,0.39754,2.01396,0.76708,2.13018,0.000454007,0.000454007,0.000454007
149,5000.57,1.10911,0.50941,1.2261,0.89011,0.83052,0.87889,0.39804,2.04557,0.77302,2.12523,0.000445756,0.000445756,0.000445756
150,5034.01,1.08297,0.50234,1.21415,0.89425,0.87525,0.90285,0.40644,2.03202,0.7525,2.12441,0.000437504,0.000437504,0.000437504
151,5067.5,1.12956,0.51619,1.24202,0.88305,0.85914,0.88858,0.39854,2.0695,0.74065,2.14473,0.000429253,0.000429253,0.000429253
152,5100.99,1.08753,0.49469,1.22042,0.89941,0.86204,0.88916,0.39008,2.06014,0.76189,2.15583,0.000421001,0.000421001,0.000421001
153,5134.45,1.09249,0.51559,1.21407,0.87965,0.83326,0.88714,0.39841,2.03231,0.76764,2.15245,0.000412749,0.000412749,0.000412749
154,5168,1.08731,0.51156,1.23516,0.8629,0.87409,0.89397,0.39533,2.05369,0.7712,2.16189,0.000404498,0.000404498,0.000404498
155,5201.54,1.08554,0.5104,1.22876,0.86683,0.88105,0.88287,0.38163,2.08354,0.76787,2.1907,0.000396246,0.000396246,0.000396246
156,5235.17,1.07224,0.49454,1.21699,0.88071,0.86551,0.88619,0.39759,2.06641,0.76588,2.18376,0.000387994,0.000387994,0.000387994
157,5268.78,1.0699,0.49628,1.22172,0.88971,0.85847,0.8848,0.3874,2.08015,0.75826,2.18841,0.000379743,0.000379743,0.000379743
158,5302.66,1.02621,0.47263,1.18507,0.89724,0.83582,0.88559,0.39606,2.05384,0.76097,2.18343,0.000371491,0.000371491,0.000371491
159,5336.35,1.04163,0.47632,1.20221,0.86887,0.87368,0.88138,0.40167,2.02738,0.73384,2.1296,0.000363239,0.000363239,0.000363239
160,5369.96,1.0565,0.48623,1.19737,0.87281,0.85453,0.86311,0.38168,2.05437,0.75002,2.16068,0.000354988,0.000354988,0.000354988
161,5403.36,1.05021,0.46958,1.18529,0.87541,0.85224,0.86853,0.39446,2.05938,0.74114,2.20221,0.000346736,0.000346736,0.000346736
162,5436.69,1.02281,0.47891,1.17192,0.85965,0.88177,0.88256,0.40337,2.0503,0.73164,2.20409,0.000338484,0.000338484,0.000338484
163,5470.06,1.04354,0.48061,1.1911,0.86098,0.88532,0.89867,0.40767,2.04872,0.75294,2.1818,0.000330233,0.000330233,0.000330233
164,5502.54,1.03651,0.47633,1.21408,0.87966,0.8534,0.88522,0.40448,2.02294,0.7566,2.13793,0.000321981,0.000321981,0.000321981
165,5534.95,1.018,0.48007,1.17729,0.90393,0.82932,0.89046,0.3996,2.05679,0.75977,2.19829,0.000313729,0.000313729,0.000313729
