epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,39114.5,1.04613,0.49279,1.18868,0.84303,0.85803,0.85525,0.38221,2.10773,0.80445,2.19872,0.000470511,0.000470511,0.000470511
147,39369.8,1.03542,0.50387,1.19958,0.86692,0.8461,0.85645,0.36951,2.12759,0.81303,2.20962,0.000462259,0.000462259,0.000462259
148,39623.2,1.02854,0.4919,1.19578,0.88477,0.85247,0.85509,0.374,2.09703,0.77549,2.19998,0.000454007,0.000454007,0.000454007
149,39892.7,1.01385,0.47648,1.1718,0.90452,0.85211,0.87946,0.39078,2.09296,0.81309,2.20737,0.000445756,0.000445756,0.000445756
150,40150.7,1.01132,0.48349,1.18829,0.89807,0.82928,0.86676,0.39542,2.04633,0.80548,2.1586,0.000437504,0.000437504,0.000437504
151,40404.1,1.0129,0.46989,1.18172,0.89369,0.86198,0.8818,0.39092,2.08944,0.80718,2.18594,0.000429253,0.000429253,0.000429253
152,40665.3,1.02049,0.47448,1.18224,0.89112,0.86875,0.88494,0.39099,2.06791,0.81222,2.17109,0.000421001,0.000421001,0.000421001
153,40940.9,0.98794,0.46925,1.17841,0.89485,0.84562,0.86903,0.37981,2.09452,0.80812,2.19284,0.000412749,0.000412749,0.000412749
154,41229.3,1.0007,0.48381,1.18415,0.8808,0.85596,0.87841,0.37978,2.1058,0.80503,2.19545,0.000404498,0.000404498,0.000404498
155,41509.2,1.01805,0.4739,1.171,0.89515,0.87594,0.88147,0.38797,2.08272,0.80456,2.23986,0.000396246,0.000396246,0.000396246
156,41784.8,0.96816,0.49032,1.16019,0.87746,0.85522,0.86614,0.37036,2.11611,0.79669,2.25498,0.000387994,0.000387994,0.000387994
157,42037.6,0.9781,0.46919,1.15554,0.91119,0.83659,0.88,0.38261,2.07649,0.78785,2.26325,0.000379743,0.000379743,0.000379743
158,42294,0.9605,0.45876,1.16096,0.90348,0.86047,0.89181,0.39507,2.06838,0.77154,2.24459,0.000371491,0.000371491,0.000371491
159,42568.9,0.95518,0.45157,1.13675,0.90697,0.84556,0.89534,0.40199,2.06233,0.77286,2.20843,0.000363239,0.000363239,0.000363239
160,42844,0.97125,0.46465,1.15668,0.88942,0.85055,0.88756,0.39719,2.0645,0.77044,2.1996,0.000354988,0.000354988,0.000354988
161,43102.3,0.93283,0.44549,1.13915,0.89989,0.84904,0.88648,0.3981,2.09473,0.77783,2.25722,0.000346736,0.000346736,0.000346736
162,43367,0.9192,0.44234,1.12125,0.90532,0.84749,0.88184,0.3968,2.07536,0.8015,2.25781,0.000338484,0.000338484,0.000338484
163,43641.9,0.92997,0.42808,1.13292,0.90411,0.85484,0.88228,0.39232,2.08675,0.78903,2.2725,0.000330233,0.000330233,0.000330233
164,43905.8,0.93739,0.45237,1.12924,0.87631,0.87109,0.88178,0.39063,2.06296,0.78347,2.26703,0.000321981,0.000321981,0.000321981
165,44172.4,0.95187,0.45306,1.1321,0.87961,0.87255,0.88597,0.39828,2.05794,0.77962,2.23553,0.000313729,0.000313729,0.000313729
166,44439.3,0.92887,0.444,1.13086,0.89632,0.85889,0.87671,0.38166,2.10931,0.80354,2.27682,0.000305478,0.000305478,0.000305478
167,44691.7,0.9269,0.45229,1.12819,0.90131,0.86455,0.87734,0.38396,2.10184,0.80449,2.28901,0.000297226,0.000297226,0.000297226
168,44954.8,0.90577,0.42974,1.10695,0.87758,0.87525,0.8695,0.38304,2.08971,0.77914,2.27915,0.000288974,0.000288974,0.000288974
169,45228.3,0.90187,0.4386,1.10982,0.88845,0.86118,0.86759,0.38193,2.11621,0.79405,2.32753,0.000280723,0.000280723,0.000280723
170,45512.3,0.89174,0.43228,1.11208,0.88931,0.87107,0.87135,0.38553,2.10083,0.79818,2.33314,0.000272471,0.000272471,0.000272471
171,45765.9,0.90776,0.44344,1.124,0.88878,0.84643,0.86222,0.38412,2.10076,0.79334,2.33069,0.00026422,0.00026422,0.00026422
172,46018.6,0.87196,0.42872,1.08985,0.88752,0.85596,0.87016,0.38757,2.08042,0.81314,2.2971,0.000255968,0.000255968,0.000255968
173,46270.6,0.8809,0.42834,1.11024,0.89163,0.83939,0.85912,0.37942,2.10875,0.80205,2.35165,0.000247716,0.000247716,0.000247716
174,46545.6,0.85218,0.42431,1.09673,0.88582,0.8512,0.86447,0.38155,2.10876,0.81706,2.31372,0.000239465,0.000239465,0.000239465
175,46797.8,0.88711,0.43274,1.11708,0.88218,0.86065,0.87345,0.39038,2.10049,0.80565,2.33358,0.000231213,0.000231213,0.000231213
176,47051.7,0.86262,0.41559,1.08412,0.88005,0.86014,0.87478,0.38905,2.08101,0.79492,2.30792,0.000222961,0.000222961,0.000222961
177,47326,0.88332,0.44007,1.1088,0.89703,0.83363,0.86892,0.38838,2.0935,0.79211,2.36791,0.00021471,0.00021471,0.00021471
178,47612.9,0.84806,0.40817,1.08104,0.90719,0.84404,0.8722,0.38196,2.10624,0.7947,2.37188,0.000206458,0.000206458,0.000206458
179,47867.5,0.82936,0.40359,1.06703,0.88802,0.8461,0.85903,0.37919,2.11166,0.82556,2.36278,0.000198206,0.000198206,0.000198206
180,48121.8,0.84713,0.41026,1.07729,0.88613,0.84453,0.85623,0.37415,2.10653,0.81754,2.36309,0.000189955,0.000189955,0.000189955
181,48376.5,0.83805,0.40584,1.07469,0.87951,0.85281,0.86516,0.37361,2.09712,0.82384,2.38167,0.000181703,0.000181703,0.000181703
